sku;barcode;supplier_product_name;cat1;cat2;cat3;product_name;size;quantity;purchase_price;retail_price;top_price;special_price;discount;brand;gender;color;material;description;img1;img2;img3;img4;img5;img6;comment_admin;comment_frontend;country_manufacturer
AAAA1111;2000051895199999;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Green;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAA1111;2000051895199998;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;M;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Девочки;Yellow;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AA1111;2000051895199997;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;L;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;White;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
A1111;20000518955199996;Имя;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Унисекс;Black;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
1111;200005181199997;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;S;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Девочки;Green;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAA111;2000059511999955;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;L;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Унисекс;Yellow;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAA11;200018951999955554;Тест;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мальчики;White;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAA1;20051895119991111;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;M;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Унисекс;Black;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAA;2000051895511111;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;L;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Женщины;White;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
BBBB1111;20000518115222222;Чтото;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мальчики;Green;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
